section;domaine;score;titre;auteurs;pays_africains;revue;date;type;doi;lien_pdf;lien_page;source
1;env;3;Metabolomic Profiling of Medicinal Plant-Based Soft Porridge and Evaluation of Cytotoxicity.;"Matsheketsheke PA; Moyo NB; Nethathe B";?;Metabolites;2026-08-25;article;https://doi.org/10.3390/metabo16090606;;https://pubmed.ncbi.nlm.nih.gov/42783731/;PubMed
1;env;3;Microbial communities and volatile profiles heterogeneity in a Mars-analogue volcanic lake.;"Canini F; Kopacz N; Garzoli S; Contemori F; Ripa C; Pecoraino G; Bellucci M; Pacelli C; Cassaro A; Cavalazzi B; Zucconi L";?;Microbiological research;2026-09-20;article;https://doi.org/10.1016/j.micres.2026.128740;;https://pubmed.ncbi.nlm.nih.gov/42785186/;PubMed
1;env;3;Phytochemical Analysis Using LC-MS/MS and Anticancer Activity of Asphodelus tenuifolius Roots: Cell Cycle Arrest, Apoptosis, and In Silico Insights.;"Bouchouka RL; Larit F; Kabouche Z; Debiossat M; Riou L; Ghezzi C; León F; Kabouche A";?;Chemistry & biodiversity;2026-09-01;article;https://doi.org/10.1002/cbdv.71724;;https://pubmed.ncbi.nlm.nih.gov/42773735/;PubMed
1;env;3;Phytochemical divergence between above- and belowground tree organs along elevational gradients.;"Asefa M; Sun L; Zhang Y; Whitehead SR; Xu G; Song X; Cao M; He Y; Su Y; Yang J; Swenson NG";?;The New phytologist;2026-09-22;article;https://doi.org/10.1111/nph.71603;;https://pubmed.ncbi.nlm.nih.gov/42773754/;PubMed
1;env;3;Phytochemical profiling of sorghum grains (Sorghum bicolor) irradiated with gamma rays, low energy electron beam (LEEB) and high energy electron beam (HEEB).;"Odai BT; Agyei-Amponsah J; Darfour B; Mahami T; Adarkwah-Yiadom M; Armah JO; Ayeh EA; Adjei I; Basugilo J; Asomaniwaa S; Gryczka U; Ocloo FC";?;Food science and technology international = Ciencia y tecnologia de los alimentos internacional;2026-10-01;article;https://doi.org/10.1177/10820132251367495;;https://pubmed.ncbi.nlm.nih.gov/42775601/;PubMed
1;env;3;The FunAqua dataset of global fungal biodiversity in aquatic ecosystems.;"Prins V; Tedersoo L; Mikryukov V; Paiste P; Sepp M; Grossart H; Kisand V; Laas A; Tammert H; Abarenkov K; Agan A; Agasild H; Agha R; Alatalo J; Alvarez-Manjarrez J; Ameryk A; Anderson J; Anslan S; Antão-Geraldes A; Antosiak A; Funck JA; Arias-Real R; Ariyan M; Bahram M; Bansal S; Bao R; Beck S; Bernotas P; Berry N; Bertilsson S; Birnbaum C; Bonk M; Borges AV; Botez F; Brearley FQ; Brookes J; Bruno D; Budzyńska A; Bullerjahn G; Bundschuh M; Calheiros-Nogueira B; Calore R; Capelli C; Caputo L; Carballeira R; Chronis I; Čiampor F; Čiamporová-Zaťovičová Z; Craig D; Csabai Z; Cukrov N; da Silva L; de Eyto E; Delgado J; Dimante-Deimantovica I; Domaizon I; Dondajewska-Pielka R; Dornan T; Drenkhan R; Drouillard K; Duarte S; Dulya O; Dzhulai A; Dziga D; Egeter B; Espenberg M; Färkkilä S; Fazi S; Feckler A; Fenoy E; Fernandes I; Ferreira S; Ferreira V; Fleituch T; Fornaroli R; Freiwald A; Frenken T; Gaffney P; García-Oliva O; Geara H; Gkelis S; Gohar D; Gołdyn R; Grandjean F; Gsell A; Gutiérrez-Cánovas C; Haase P; Hagh-Doust N; Harris T; Hashem A; Havens S; Heidari B; Higgins S; Moghaddam MH; Ibrahim A; Jerinkić D; Jones S; Kagami M; Kahar S; Kangro K; Kariman K; Kataržytė M; Kepfer-Rojas S; Khan H; Knoll LB; Knorrn A; Kõljalg U; Konstantinou D; Kotta J; Kowalczewska-Madura K; Kozak A; Kulawig B; Kupagme J; Kušan I; Laarmaa R; Laas P; Langenheder S; Lanzén A; Lateef A; Ligi M; Löffler T; Lortou U; Lujza K; MacConnell T; Maček I; Macreadie P; Maileht K; Marazzi F; Marcello L; Markovskaja S; Martin A; Martínez S; Mata V; Matočec N; McKay R; McKindles K; Mehrshad M; Menéndez M; Merino N; Mešić A; Moctar S; Moza M; Nõges P; Nõges T; O'Hanlon R; Öğlü B; Oja J; Okello W; Orav-Kotta H; Orr P; Osemwegie I; Padisák J; Pajunen V; Panou M; Papatheodoulou A; Pavlovska M; Pearman J; Pehlak H; Peng X; Pereira A; Pereira R; Pernecker B; Picazo F; Pinnow S; Pochekutova P; Põlme S; Pontevedra-Pombal X; Pošta A; Prekrasna-Kviatkovska Y; Pruuli J; Pruuli M; Pruuli T; Radoja N; Rahimlou S; Rannap R; Rasconi S; Rasmussen A; Remmers W; Reyes L; Rhodes G; Roe C; Rojas-Castillo O; Roslin T; Runnel K; Rusch J; Rybak M; Rychtecký P; Sahadevan S; Saitta A; Salehi-Najafabadi A; Santi I; Sarapuu J; Schäfer RB; Schneeweiss A; Scholz B; Selmeczy G; Smederevac-Lalić M; Sommaruga R; Stetler J; Stoica E; Stoll S; Strand D; Tamm M; Tapolczai K; Tarand J; Teurlincx S; Thompson J; Thomson-Laing G; Tiirmann L; Tkalčec Z; Trbojević I; Trevathan-Tackett S; Tsiarta N; Tuvikene A; Tuvikene L; Vacaflores-Argandoña M; Vahter T; Vaino K; Val AL; Vandergoes M; Vasemägi A; Vask A; Vasquez M; Veríssimo J; Vesamäki J; Virta L; Visser P; Viza A; Vrålstad T; Ward CS; Waryszak P; Wierenga J; Wilson P; Wood S; Woźniczka A; Wurzbacher C; Zingel P; Znachor P; Dela Cruz TEE; Panksep K";?;Scientific data;2026-09-24;article;https://doi.org/10.1038/s41597-026-07729-8;;https://pubmed.ncbi.nlm.nih.gov/42786172/;PubMed
1;env;3;Where Worlds Align: Insights from the Joint GGBN-ISBER Conference on Biodiversity and Biobanking, Cape Town, October 2025.;"Astrin JJ; Labuschagne K; Avrili H; Barker K; Burger AL; Dhyani A; Escobari Vargas B; Johnston P; Pugh RS; Grossman GH; Conradie EH";?;Biopreservation and biobanking;2026-09-24;article;https://doi.org/10.1177/19475535261488949;;https://pubmed.ncbi.nlm.nih.gov/42781813/;PubMed
1;sante;10;Health and Safety in Agricultural Storage Buildings: Implications for the Design of a Grain Processing and Storage Complex in Nigeria.;"O. A. Obakin; O.O. Ilori; G.J. Dasaolu";ng;Advances in Multidisciplinary & Scientific Research Journal Publication;2026-09-12;article;https://doi.org/10.22624/aims/sij/v12n3p3;https://doi.org/10.22624/aims/sij/v12n3p3;https://doi.org/10.22624/aims/sij/v12n3p3;OpenAlex
1;sante;9;FACTORS INFLUENCING ACCESS TO HEALTH INFORMATION AMONG THE ELDERLY PEOPLE IN ZIMBABWE: A SCOPING REVIEW;"Taphros Madondo; Nevermore Sithole; Rosemary Maturure; Dr. Alice Dube; Sibongile Chituku; Emmanuel Ifeanyi Obeagu";za,zw;Universal Journal of Pharmaceutical Research;2026-09-15;article;https://doi.org/10.22270/ujpr.v11i4.1636;https://ujpronline.com/index.php/journal/article/download/1636/2235;https://doi.org/10.22270/ujpr.v11i4.1636;OpenAlex
1;sante;8;Prevalence of Newly Diagnosed Diabetes Mellitus in Acute Stroke Patients A Multicenter Cross-Sectional Study;"Muluken Alemayehu Workiye; Rediet Assefa Gudeta; Henok Bahru Wodajeneh; Frewoyni Gedey Gebregziabher; Bemnet Zegeye Ashenafi";et;Progress in Medical Sciences;2026-09-08;article;https://doi.org/10.47363/pms/2026(10)238;https://doi.org/10.47363/pms/2026(10)238;https://doi.org/10.47363/pms/2026(10)238;OpenAlex
1;sante;4;A roadmap for somatosensory rehabilitation and research after stroke: Consensus-based core recommendations from the fourth Stroke Recovery and Rehabilitation Roundtable.;"Aries AM; Carey LM; Birznieks I; Brogårdh C; Cahill LS; Churilov L; Connell L; Dukelow SP; Gopaul U; Hillier S; Hunter SM; Inglis-Jassiem G; Pomeroy VM; Rothwell J; Sandhu K; Senadheera I; Stoykov ME; Uemura JI; Verheyden G; Wieloch T; Zandvliet S";?;International journal of stroke : official journal of the International Stroke Society;2026-09-22;review;https://doi.org/10.1177/17474930261494430;;https://pubmed.ncbi.nlm.nih.gov/42773699/;PubMed
1;sante;4;Nurse-led interventions for hypertension management in Sub-Saharan Africa: A scoping review.;"Goshu AT; Xie YJ; Zhang Y; Melesse TG; Yorke J";?;International journal of nursing studies advances;2026-08-11;review;https://doi.org/10.1016/j.ijnsa.2026.100656;;https://pubmed.ncbi.nlm.nih.gov/42781310/;PubMed
1;sante;3;"""Together, we can do so much"" - mobilising community actors for integrated and coordinated care for hypertension and associated long-term conditions in low-income African settings.";"Sabapathy K; Chivandire T; Acacio S; Floyd S; Hensen B; Scott S";?;Journal of human hypertension;2026-09-23;article;https://doi.org/10.1038/s41371-026-01229-3;;https://pubmed.ncbi.nlm.nih.gov/42778679/;PubMed
1;sante;3;"Comment on ""Sentinel Lymph Node Biopsy for Breast Cancer in North Africa: A Retrospective Analysis of Feasibility, Safety, and Morbidity Reduction in a Real-World Setting"".";Benhami W;?;European journal of breast health;2026-09-23;article;https://doi.org/10.4274/ejbh.galenos.2026.2026-3-10;;https://pubmed.ncbi.nlm.nih.gov/42779203/;PubMed
1;sante;3;Design, synthesis, and biological evaluation of novel dihydropyrimidinone imines as potent anticancer agents targeting AKT to induce cell cycle arrest and apoptosis in breast Cancer cells.;"Gerges MN; Noser AA; Ibrahim EG; Diab T";?;Bioorganic & medicinal chemistry;2026-09-23;article;https://doi.org/10.1016/j.bmc.2026.118807;;https://pubmed.ncbi.nlm.nih.gov/42784856/;PubMed
1;sante;3;Development and Optimisation Using D-Optimal Design of Dual-Functionalized Hyaluronic Acid-Chitosan-Coated Mesoporous Silica Nanoparticles for Repurposed Propranolol Delivery in Breast Cancer: A Proof-of-Concept Study.;"Ibrahim MS; Elsayyad NME; Noshi SH";?;Pharmaceutical development and technology;2026-09-24;article;https://doi.org/10.1080/10837450.2026.2738747;;https://pubmed.ncbi.nlm.nih.gov/42779369/;PubMed
1;sante;3;Efficacy and Safety of EG12014 (Biosimilar Trastuzumab) Compared to Reference Trastuzumab in HER2-Positive Early Breast Cancer: A Phase III Randomized Study.;"Huang CS; Dzagnidze G; Grohmann-Izay B; Liu LC; Llinás-Quintero N; Lin AN; Mishra AK; Pominchuk D; Prokharau A; Rapoport BL; Semiglazov V; Tseng LM; Ruiz EY; Loibl S";?;Advances in therapy;2026-09-24;article;https://doi.org/10.1007/s12325-026-03781-3;;https://pubmed.ncbi.nlm.nih.gov/42782448/;PubMed
1;sante;3;Job Stress and Handover Competency Among Critical Care Nurses: The Mediating Role of Clinical Decision-Making in a Multicentre Cross-Sectional Study.;"Amin SM; Alasqah I; Zanaty MM; Alkubati SA; Hammouda EY; Atta MHR; Abdelraheem A; Ruksakulpiwat S";?;Nursing in critical care;2026-11-01;article;https://doi.org/10.1111/nicc.70682;;https://pubmed.ncbi.nlm.nih.gov/42786703/;PubMed
1;sante;3;Multiterritory Acute Ischemic Stroke with Bilateral Middle Cerebellar Peduncle T2/FLAIR Hyperintensities in the Setting of a Fatal Systemic Arterial Thrombotic Process: A Case Report.;"Brou KM; Traoré S; Ahoury NJ; Aka NA; N'zi KP";?;Radiology case reports;2026-09-15;article;https://doi.org/10.1016/j.radcr.2026.08.046;;https://pubmed.ncbi.nlm.nih.gov/42780601/;PubMed
1;sante;3;Prenatal Immune Activation and Intermittent Maternal Hypoxic Stress Exacerbate Ischaemic Stroke in Adult Rats: A Two-Hit Biochemical Hypothesis Study Across Developmental Stages.;"Friday FB; Ben-Azu B; Iwhiwhu P; Chimezie J; Ozah EO; Usin SG; Chijioke BS; Esuku DT; Moses AS; Chidebe EO; Onuelu JE; Bamitale SKD; Henneh IT";?;International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience;2026-10-01;article;https://doi.org/10.1002/jdn.70179;;https://pubmed.ncbi.nlm.nih.gov/42773603/;PubMed
1;sante;3;Prescribers' adherence to clinical practice guidelines for the management of hypertension at public hospitals in Northwest Ethiopia: An explanatory sequential mixed-methods study.;"Moges TA; Berihun Dagnew S; Zewdu WS; Wondm SA; Tarekegn GY; Mussie DA; Ayele TM; Anberbr SS; Bitew BE; Assefa AN; Ayen AA; Dagnew FN";?;Sage open chronic disease;2026-03-19;article;https://doi.org/10.1177/27558428261420524;;https://pubmed.ncbi.nlm.nih.gov/42775143/;PubMed
1;sante;3;Prevalence and Predictors of Hepatitis B Virus Infection Among Sellers and Workers at West Africa's Largest Market, Kejetia, Ghana: A Cross-Sectional Study.;"Boateng DKO; Obeng MA; Attah JK; Shardow ALK; Boateng CO; Okwan DK; Ahadzie SYN; Takyi P; Scott GY; Abrampah AA; Boakye FK; Oduro P; Nouwati DD; Amankwah KB; Hassanin RM; Adams MM; Rahamani AA";?;BioMed research international;2026-01-01;article;https://doi.org/10.1155/bmri/1412674;;https://pubmed.ncbi.nlm.nih.gov/42775656/;PubMed
1;sante;3;Psychosocial Repercussions and Challenges in Accessing Healthcare for Young Women With Breast Cancer in Brazil: A Qualitative Thematic Analysis.;"Ribeiro HF; Laranjeira C; Obeid S; Fekih-Romdhane F; Camparoto CW; Pelloso FC; Dos Santos L; Carvalho MDB; Pelloso SM";?;Journal of clinical nursing;2026-09-23;article;https://doi.org/10.1111/jocn.70552;;https://pubmed.ncbi.nlm.nih.gov/42775721/;PubMed
1;sante;3;Psychosocial stress and risk of first-ever stroke: a systematic review and meta-analysis.;"Khalifa MA; Hassanein D; Alsabbagh AAI; Gamil AS; Abdelhaleem DE; Zidat ARA; Megahed EA; Ghazi MA; Abdelfattah MH; Aboutabl MM; Ibrahim OA; Adil AM; Ahmed AF; AbdelKareem HA; Gharib MM; Khazali MH";?;BMC neurology;2026-09-23;article;https://doi.org/10.1186/s12883-026-05307-4;;https://pubmed.ncbi.nlm.nih.gov/42778898/;PubMed
1;sante;3;Understanding the pathways to workplace flourishing: the effect of trust and psychological safety in high-pressure work environments.;"Nubuor SA; Bosomtwe TE; Obuobi R; Bampoe HS; Bosomtwe-Duker DE";?;Frontiers in psychiatry;2026-08-27;article;https://doi.org/10.3389/fpsyt.2026.1912314;;https://pubmed.ncbi.nlm.nih.gov/42775233/;PubMed
1;sante;3;Writing the Unspeakable: Breast Cancer Survivors' Experiences of Expressive Writing as Psychosocial Support.;"Ali SI; Shaban M";?;Seminars in oncology nursing;2026-09-24;article;https://doi.org/10.1016/j.soncn.2026.152394;;https://pubmed.ncbi.nlm.nih.gov/42784890/;PubMed
1;alim;14;Unlocking the Potential of Fish Nutrition, Products, and By-Products for Food Security and, Environmental Sustainability: Current Knowledge Gaps and Future Research Directions;"Regan Nicholaus; Angela Aluko";tz;MUST Journal of Research and Development.;2026-09-15;article;https://doi.org/10.62277/mjrd2026v7i30009;https://mjrd.must.ac.tz/index.php/mjrd/article/download/415/231;https://doi.org/10.62277/mjrd2026v7i30009;OpenAlex
1;alim;9;An Anesthesia-Free Murine Model of Peanut Sensitization via Inhalation and Dermal Exposure for Evaluating the Immunomodulatory Effects of Dietary Arachidonic Acid v1;Ashraf Elgendy;eg;;2026-09-15;preprint;https://doi.org/10.17504/protocols.io.36wgq2b73gk5/v1;https://www.protocols.io/view/an-anesthesia-free-murine-model-of-peanut-sensitiz-36wgq2b73gk5/v1.pdf;https://doi.org/10.17504/protocols.io.36wgq2b73gk5/v1;OpenAlex
1;alim;9;Peri-Urban Livestock Farming as an Agribusiness Strategy: Economic Opportunities, Land-Use Challenges and Food Security Implications;"Stella Anietie George; Anietie George; Omolabake Josephine Ogboro; Omoregie Sophia";ng;International Journal of Research Publication and Reviews;2026-09-11;article;https://doi.org/10.55248/gengpi.06.1226.2806;https://doi.org/10.55248/gengpi.06.1226.2806;https://doi.org/10.55248/gengpi.06.1226.2806;OpenAlex
1;alim;4;Dietary melatonin and its benefits on cardiovascular disease.;"Tisane K; Abrahams C; Lecour S";?;British journal of pharmacology;2026-09-25;review;https://doi.org/10.1111/bph.70673;;https://pubmed.ncbi.nlm.nih.gov/42786941/;PubMed
1;alim;4;From bioactive chemistry to packaging function: a structure-interaction-release framework for sustainable food packaging.;"Yar MS; Rehman F; Elnagar A; Regmi A; Bilal M; Mubeen HM; Ibeogu IH; Bako HK; Alnadari F; Li C";?;Food chemistry;2026-09-21;review;https://doi.org/10.1016/j.foodchem.2026.151189;;https://pubmed.ncbi.nlm.nih.gov/42785020/;PubMed
1;alim;4;Mycotoxins as Environmental Pollutants: Epigenetic Modifications in Animals and Implications for Ecosystem Health.;"Sayed H; Adam SY; Batool SA; Tyasi TL; Kim IH; Ahmed AA; Liu HY; Cai D";?;Environmental toxicology and pharmacology;2026-09-24;review;https://doi.org/10.1016/j.etap.2026.105176;;https://pubmed.ncbi.nlm.nih.gov/42785449/;PubMed
1;alim;3;An integrated adaptive framework for mycotoxin management in African cereals: evidence from a scoping review.;"Coffi VEC; Tesfamariam K; Iko Afé OH; Akissoé N; De Saeger S; Dabadé DS";?;Mycotoxin research;2026-09-24;article;https://doi.org/10.1007/s12550-026-00673-x;;https://pubmed.ncbi.nlm.nih.gov/42782459/;PubMed
1;alim;3;Effect of Dala-Led Behavior Change Communication on Complementary Feeding Practices in Infants and Young Children: A Cluster-Randomized Controlled Trial in Agro-Pastoral Settings of Afar Region, Ethiopia.;"Ali AS; Belachew T; Kedir S; Abate KH";?;Maternal & child nutrition;2026-07-01;article;https://doi.org/10.1111/mcn.70254;;https://pubmed.ncbi.nlm.nih.gov/42775712/;PubMed
1;alim;3;Herbivore-induced sorghum volatiles mediate attraction of Cotesia flavipes: roles of DMNT and (Z)-3-hexenyl acetate in tritrophic chemical communication.;"Osinde C; Nyakoojo C; M Nsubuga A; K Tugume A; Edrisa Ssenku J";?;Plant signaling & behavior;2026-12-31;article;https://doi.org/10.1080/15592324.2026.2737761;;https://pubmed.ncbi.nlm.nih.gov/42776862/;PubMed
1;alim;3;Hybrid Sensor-Vision Machine Learning for Predicting Mahewu Fermentation Dynamics.;"Adeleke I; Adebo OA; Nwulu N";?;Journal of food science;2026-09-01;article;https://doi.org/10.1111/1750-3841.71497;;https://pubmed.ncbi.nlm.nih.gov/42786983/;PubMed
1;alim;3;Joint International Society of Renal Nutrition and Metabolism (ISRNM) and International Society for Peritoneal Dialysis (ISPD) practice recommendation on nutrition management in peritoneal dialysis.;"Wang AY; Avesani CM; Kariyawasam D; Lambert K; Nash C; Nerbass F; Sabatino A; Alobaidi A; Naraine SD; Chan M; Chow JS; Dong J; Ebrahim Z; Figueiredo AE; Liebman SE; Rhee C; Silva MZC; Johnson DW";?;Peritoneal dialysis international : journal of the International Society for Peritoneal Dialysis;2026-09-25;article;https://doi.org/10.1177/08968608261458140;;https://pubmed.ncbi.nlm.nih.gov/42786897/;PubMed
1;alim;3;Mid-upper arm circumference of preschool-aged children during conflict transition in the Gaza Strip: a cross-sectional nutritional surveillance study.;"Horino M; Tabaza A; Chen J; Al Najjar S; Alkhammash H; Jaffal R; Quqa R; West KP Jr; Seita A";?;The Lancet. Global health;2026-09-30;article;https://doi.org/10.1016/j.langlo.2026.104065;;https://pubmed.ncbi.nlm.nih.gov/42777752/;PubMed
1;alim;3;Using next-generation sequencing to unravel the diet composition of Burrowing Parrots over the annual cycle.;"Masello JF; Failla M; Leder CV; Quillfeldt P";?;Die Naturwissenschaften;2026-09-24;article;https://doi.org/10.1007/s00114-026-02159-3;;https://pubmed.ncbi.nlm.nih.gov/42782303/;PubMed
1;social;15;Income, Stigma, and Affect in Portuguese Adults Living in Poverty;"Jóni Ledo; Iara do Nascimento Teixeira; Madalena Cruz; Inês Catarinas Batista; António Oliveira; Felipe Alckmin-Carvalho; Catarina Oliveira; Henrique Cerqueira Quinteiro Pereira";cm;Journal of Poverty;2026-09-22;article;https://doi.org/10.1080/10875549.2026.2734990;;https://doi.org/10.1080/10875549.2026.2734990;OpenAlex
1;social;11;Closing the Gender Gap in Marula (Sclerocarya Birrea) Food Value Chains: A Gendered Analysis of Women’s Participation in Enhancing Household Food and Income in Southeastern Lowveld, Zimbabwe;"Blessing Masamha; P. Maringe; Innocent Kutyauripo; P. Tirivanhu";za,zw;Suid-Afrikaanse tydskrif vir landbouvoorligting/South African journal of agricultural extension;2026-09-14;article;https://doi.org/10.17159/2413-3221/2026/v54n6a18747;;https://doi.org/10.17159/2413-3221/2026/v54n6a18747;OpenAlex
1;social;11;Navigating Challenges in Rural Agriculture: A Study of Network Governance and Smallholder Farming in KwaZulu-Natal;"P Garane; Betty Claire Mubangizi; O.T. Ojogiwa";za;Suid-Afrikaanse tydskrif vir landbouvoorligting/South African journal of agricultural extension;2026-09-14;article;https://doi.org/10.17159/2413-3221/2026/v54n6a21439;;https://doi.org/10.17159/2413-3221/2026/v54n6a21439;OpenAlex
1;social;11;Oligarchy, Corruption and Social Justice;"Firoz Khan; Sushma Patel";za;Strategic Review for Southern Africa;2026-09-14;article;https://doi.org/10.35293/srsa.v48i1.7465;https://upjournals.up.ac.za/index.php/strategic_review/article/download/7465/5330;https://doi.org/10.35293/srsa.v48i1.7465;OpenAlex
